Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, torqueNoAccel, LeftCurve, 262.74, 0, 0.15, 0, 0, False, 0
1, torqueNoAccel, LeftCurve, 262.76, 0, 0.1461545, 0, 0, False, 0
2, torqueNoAccel, LeftCurve, 262.78, 0, 0.1413049, 0, 0, False, 0
3, torqueNoAccel, LeftCurve, 262.8, 0, 0.1355148, 0, 0, False, 0
4, torqueNoAccel, LeftCurve, 262.82, 0, 0.1288472, 0, 0, False, 0
5, torqueNoAccel, LeftCurve, 262.84, -4.23394E-12, 0.1213638, -2.11697E-12, 0, False, 0
6, torqueNoAccel, LeftCurve, 262.86, -1.680021E-11, 0.1131254, -8.400107E-12, 0, False, 0
7, torqueNoAccel, LeftCurve, 262.88, -3.948206E-11, 0.1041912, -1.974103E-11, 0, False, 0
8, torqueNoAccel, LeftCurve, 262.9, -7.843132E-11, 0.09461969, -3.921566E-11, 0, False, 0
9, torqueNoAccel, LeftCurve, 262.92, -1.373456E-10, 0.08446735, -6.754966E-11, 0, False, 0
10, torqueNoAccel, LeftCurve, 262.94, -2.220715E-10, 0.07378954, -1.077207E-10, 0, False, 0
11, torqueNoAccel, LeftCurve, 262.96, -3.474871E-10, 0.06264007, -1.672204E-10, 0, False, 0
12, torqueNoAccel, LeftCurve, 262.98, -5.209142E-10, 0.05252802, -2.485486E-10, 0, False, 0
13, torqueNoAccel, LeftCurve, 263, -7.993828E-10, 0.05050588, -3.732392E-10, 0, False, 0
14, torqueNoAccel, LeftCurve, 263.02, -4.443471E-09, 0.05010122, -9.88206E-10, 0, False, 0
15, torqueNoAccel, LeftCurve, 263.04, -9.635162E-09, 0.05002028, -1.830113E-09, 0, False, 0
16, torqueNoAccel, LeftCurve, 263.06, -1.553747E-08, 0.05000407, -2.786924E-09, 0, False, 0
17, torqueNoAccel, LeftCurve, 263.08, -2.189404E-08, 0.05000085, -3.808773E-09, 0, False, 0
18, torqueNoAccel, LeftCurve, 263.1, -2.861952E-08, 0.05000019, -4.889982E-09, 0, False, 0
19, torqueNoAccel, LeftCurve, 263.12, -3.56732E-08, 0.05000007, -6.023432E-09, 0, False, 0
20, torqueNoAccel, LeftCurve, 263.14, -4.306117E-08, 0.05000007, -7.203083E-09, 0, False, 0
21, torqueNoAccel, LeftCurve, 263.16, -5.077722E-08, 0.05000001, -8.442097E-09, 0, False, 0
22, torqueNoAccel, LeftCurve, 263.18, -5.882709E-08, 0.05000001, -9.734631E-09, 0, False, 0
23, torqueNoAccel, LeftCurve, 263.2, -6.716842E-08, 0.05000001, -1.107406E-08, 0, False, 0
24, torqueNoAccel, LeftCurve, 263.22, -7.580805E-08, 0.05000001, -1.245419E-08, 0, False, 0
25, torqueNoAccel, LeftCurve, 263.24, -8.474094E-08, 0.05000001, -1.388776E-08, 0, False, 0
26, torqueNoAccel, LeftCurve, 263.26, -9.397202E-08, 0.05000001, -1.536812E-08, 0, False, 0
27, torqueNoAccel, LeftCurve, 263.28, -1.035068E-07, 0.05000001, -1.68892E-08, 0, False, 0
28, torqueNoAccel, LeftCurve, 263.3, -1.132936E-07, 0.05000001, -1.846329E-08, 0, False, 0
29, torqueNoAccel, LeftCurve, 263.32, -1.233388E-07, 0.05000001, -2.008424E-08, 0, False, 0
30, torqueNoAccel, LeftCurve, 263.34, -1.336503E-07, 0.05000001, -2.174598E-08, 0, False, 0
31, torqueNoAccel, LeftCurve, 263.36, -1.442325E-07, 0.05000001, -2.344222E-08, 0, False, 0
32, torqueNoAccel, LeftCurve, 263.38, -1.550817E-07, 0.05000001, -2.51858E-08, 0, False, 0
33, torqueNoAccel, LeftCurve, 263.4, -1.662036E-07, 0.05000001, -2.697053E-08, 0, False, 0
34, torqueNoAccel, LeftCurve, 263.42, -1.775583E-07, 0.05000001, -2.879002E-08, 0, False, 0
35, torqueNoAccel, LeftCurve, 263.44, -1.891414E-07, 0.05000001, -3.065763E-08, 0, False, 0
36, torqueNoAccel, LeftCurve, 263.46, -2.009607E-07, 0.05000001, -3.256723E-08, 0, False, 0
37, torqueNoAccel, LeftCurve, 263.48, -2.130234E-07, 0.05000001, -3.451289E-08, 0, False, 0
38, torqueNoAccel, LeftCurve, 263.5, -2.253356E-07, 0.05000001, -3.648839E-08, 0, False, 0
39, torqueNoAccel, LeftCurve, 263.52, -2.378479E-07, 0.05000001, -3.850687E-08, 0, False, 0
40, torqueNoAccel, LeftCurve, 263.54, -2.505664E-07, 0.05000001, -4.056282E-08, 0, False, 0
41, torqueNoAccel, LeftCurve, 263.56, -2.634979E-07, 0.05000001, -4.265035E-08, 0, False, 0
42, torqueNoAccel, LeftCurve, 263.58, -2.766505E-07, 0.05000001, -4.476341E-08, 0, False, 0
43, torqueNoAccel, LeftCurve, 263.6, -2.900203E-07, 0.05000001, -4.691544E-08, 0, False, 0
44, torqueNoAccel, LeftCurve, 263.62, -3.036152E-07, 0.05000001, -4.910011E-08, 0, False, 0
45, torqueNoAccel, LeftCurve, 263.64, -3.173961E-07, 0.05000001, -5.131148E-08, 0, False, 0
46, torqueNoAccel, LeftCurve, 263.66, -3.3136E-07, 0.05000001, -5.356329E-08, 0, False, 0
47, torqueNoAccel, LeftCurve, 263.68, -3.455139E-07, 0.05000001, -5.584935E-08, 0, False, 0
48, torqueNoAccel, LeftCurve, 263.7, -3.598651E-07, 0.05000001, -5.816313E-08, 0, False, 0
49, torqueNoAccel, LeftCurve, 263.72, -3.744207E-07, 0.05000001, -6.049921E-08, 0, False, 0
50, torqueNoAccel, LeftCurve, 263.74, -3.891319E-07, 0.05000001, -6.287114E-08, 0, False, 0
51, torqueNoAccel, LeftCurve, 263.76, -4.040071E-07, 0.05000001, -6.527318E-08, 0, False, 0
52, torqueNoAccel, LeftCurve, 263.78, -4.190542E-07, 0.05000001, -6.76998E-08, 0, False, 0
53, torqueNoAccel, LeftCurve, 263.8, -4.342823E-07, 0.05000001, -7.014535E-08, 0, False, 0
54, torqueNoAccel, LeftCurve, 263.82, -4.49688E-07, 0.05000001, -7.262372E-08, 0, False, 0
55, torqueNoAccel, LeftCurve, 263.84, -4.652783E-07, 0.05000001, -7.51295E-08, 0, False, 0
56, torqueNoAccel, LeftCurve, 263.86, -4.810159E-07, 0.05000001, -7.765716E-08, 0, False, 0
57, torqueNoAccel, LeftCurve, 263.88, -4.969096E-07, 0.05000001, -8.020123E-08, 0, False, 0
58, torqueNoAccel, LeftCurve, 263.9, -5.129579E-07, 0.05000001, -8.277586E-08, 0, False, 0
59, torqueNoAccel, LeftCurve, 263.92, -5.291681E-07, 0.05000001, -8.537507E-08, 0, False, 0
60, torqueNoAccel, LeftCurve, 263.94, -5.45548E-07, 0.05000001, -8.799328E-08, 0, False, 0
61, torqueNoAccel, LeftCurve, 263.96, -5.620487E-07, 0.05000001, -9.064436E-08, 0, False, 0
62, torqueNoAccel, LeftCurve, 263.98, -5.786793E-07, 0.05000001, -9.332207E-08, 0, False, 0
63, torqueNoAccel, LeftCurve, 264, -5.954478E-07, 0.05000001, -9.60206E-08, 0, False, 0
64, torqueNoAccel, LeftCurve, 264.02, -6.123631E-07, 0.05000001, -9.873466E-08, 0, False, 0
65, torqueNoAccel, LeftCurve, 264.04, -6.294236E-07, 0.05000001, -1.014781E-07, 0, False, 0
66, torqueNoAccel, LeftCurve, 264.06, -6.46638E-07, 0.05000001, -1.042453E-07, 0, False, 0
67, torqueNoAccel, LeftCurve, 264.08, -6.639684E-07, 0.05000001, -1.070305E-07, 0, False, 0
68, torqueNoAccel, LeftCurve, 264.1, -6.814238E-07, 0.05000001, -1.098284E-07, 0, False, 0
69, torqueNoAccel, LeftCurve, 264.12, -6.990036E-07, 0.05000001, -1.126525E-07, 0, False, 0
70, torqueNoAccel, LeftCurve, 264.14, -7.167162E-07, 0.05000001, -1.154967E-07, 0, False, 0
71, torqueNoAccel, LeftCurve, 264.16, -7.345696E-07, 0.05000001, -1.183555E-07, 0, False, 0
72, torqueNoAccel, LeftCurve, 264.18, -7.525147E-07, 0.05000001, -1.212425E-07, 0, False, 0
73, torqueNoAccel, LeftCurve, 264.2, -7.705617E-07, 0.05000001, -1.241517E-07, 0, False, 0
74, torqueNoAccel, LeftCurve, 264.22, -7.887194E-07, 0.05000001, -1.270779E-07, 0, False, 0
75, torqueNoAccel, LeftCurve, 264.24, -8.06998E-07, 0.05000001, -1.300157E-07, 0, False, 0
76, torqueNoAccel, LeftCurve, 264.26, -8.253958E-07, 0.05000001, -1.329785E-07, 0, False, 0
