Index, Movement Mode, Trial Type, Time, X, Y, Z, Flags Collected, isFiring, Fire Count
0, directionalNoAccel, LeftCurve, 160.6, 0, 0.15, 0, 0, False, 0
1, directionalNoAccel, LeftCurve, 160.62, 0, 0.1461545, 0, 0, False, 0
2, directionalNoAccel, LeftCurve, 160.64, 0, 0.1413049, 0, 0, False, 0
3, directionalNoAccel, LeftCurve, 160.66, 0, 0.1355148, 0, 0, False, 0
4, directionalNoAccel, LeftCurve, 160.68, 0, 0.1288472, 0, 0, False, 0
5, directionalNoAccel, LeftCurve, 160.7, -4.23394E-12, 0.1213638, -2.11697E-12, 0, False, 0
6, directionalNoAccel, LeftCurve, 160.72, -1.680021E-11, 0.1131254, -8.400107E-12, 0, False, 0
7, directionalNoAccel, LeftCurve, 160.74, -3.948206E-11, 0.1041912, -1.974103E-11, 0, False, 0
8, directionalNoAccel, LeftCurve, 160.76, -7.843132E-11, 0.09461969, -3.921566E-11, 0, False, 0
9, directionalNoAccel, LeftCurve, 160.78, -1.373456E-10, 0.08446735, -6.754966E-11, 0, False, 0
10, directionalNoAccel, LeftCurve, 160.8, -2.220715E-10, 0.07378954, -1.077207E-10, 0, False, 0
11, directionalNoAccel, LeftCurve, 160.82, -3.474871E-10, 0.06264007, -1.672204E-10, 0, False, 0
12, directionalNoAccel, LeftCurve, 160.84, -5.209142E-10, 0.05252802, -2.485486E-10, 0, False, 0
13, directionalNoAccel, LeftCurve, 160.86, -7.993828E-10, 0.05050588, -3.732392E-10, 0, False, 0
14, directionalNoAccel, LeftCurve, 160.88, -4.443471E-09, 0.05010122, -9.88206E-10, 0, False, 0
15, directionalNoAccel, LeftCurve, 160.9, -9.635162E-09, 0.05002028, -1.830113E-09, 0, False, 0
16, directionalNoAccel, LeftCurve, 160.92, -1.553747E-08, 0.05000407, -2.786924E-09, 0, False, 0
17, directionalNoAccel, LeftCurve, 160.94, -2.189404E-08, 0.05000085, -3.808773E-09, 0, False, 0
18, directionalNoAccel, LeftCurve, 160.96, -2.861952E-08, 0.05000019, -4.889982E-09, 0, False, 0
19, directionalNoAccel, LeftCurve, 160.98, -3.56732E-08, 0.05000007, -6.023432E-09, 0, False, 0
20, directionalNoAccel, LeftCurve, 161, -4.306117E-08, 0.05000007, -7.203083E-09, 0, False, 0
21, directionalNoAccel, LeftCurve, 161.02, -5.077722E-08, 0.05000001, -8.442097E-09, 0, False, 0
22, directionalNoAccel, LeftCurve, 161.04, -5.882709E-08, 0.05000001, -9.734631E-09, 0, False, 0
23, directionalNoAccel, LeftCurve, 161.06, -6.716842E-08, 0.05000001, -1.107406E-08, 0, False, 0
24, directionalNoAccel, LeftCurve, 161.08, -7.580805E-08, 0.05000001, -1.245419E-08, 0, False, 0
25, directionalNoAccel, LeftCurve, 161.1, -8.474094E-08, 0.05000001, -1.388776E-08, 0, False, 0
26, directionalNoAccel, LeftCurve, 161.12, -9.397202E-08, 0.05000001, -1.536812E-08, 0, False, 0
27, directionalNoAccel, LeftCurve, 161.14, -1.035068E-07, 0.05000001, -1.68892E-08, 0, False, 0
28, directionalNoAccel, LeftCurve, 161.16, -1.132936E-07, 0.05000001, -1.846329E-08, 0, False, 0
29, directionalNoAccel, LeftCurve, 161.18, -1.233388E-07, 0.05000001, -2.008424E-08, 0, False, 0
30, directionalNoAccel, LeftCurve, 161.2, -1.336503E-07, 0.05000001, -2.174598E-08, 0, True, 0
31, directionalNoAccel, LeftCurve, 161.22, -1.442325E-07, 0.05000001, -2.344222E-08, 0, True, 0
32, directionalNoAccel, LeftCurve, 161.24, -1.550817E-07, 0.05000001, -2.51858E-08, 0, True, 0
33, directionalNoAccel, LeftCurve, 161.26, -1.662036E-07, 0.05000001, -2.697053E-08, 0, True, 0
34, directionalNoAccel, LeftCurve, 161.28, -1.775583E-07, 0.05000001, -2.879002E-08, 0, True, 0
35, directionalNoAccel, LeftCurve, 161.3, -1.891414E-07, 0.05000001, -3.065763E-08, 0, True, 0
36, directionalNoAccel, LeftCurve, 161.32, -2.009607E-07, 0.05000001, -3.256723E-08, 0, True, 0
37, directionalNoAccel, LeftCurve, 161.34, -2.130234E-07, 0.05000001, -3.451289E-08, 0, True, 0
38, directionalNoAccel, LeftCurve, 161.36, -2.253356E-07, 0.05000001, -3.648839E-08, 0, True, 0
39, directionalNoAccel, LeftCurve, 161.38, -2.378479E-07, 0.05000001, -3.850687E-08, 0, True, 0
40, directionalNoAccel, LeftCurve, 161.4, -2.505664E-07, 0.05000001, -4.056282E-08, 0, True, 0
41, directionalNoAccel, LeftCurve, 161.42, -2.634979E-07, 0.05000001, -4.265035E-08, 0, True, 0
42, directionalNoAccel, LeftCurve, 161.44, -2.766505E-07, 0.05000001, -4.476341E-08, 0, True, 0
43, directionalNoAccel, LeftCurve, 161.46, -2.900203E-07, 0.05000001, -4.691544E-08, 0, True, 0
44, directionalNoAccel, LeftCurve, 161.48, -3.036152E-07, 0.05000001, -4.910011E-08, 0, True, 0
45, directionalNoAccel, LeftCurve, 161.5, -3.173961E-07, 0.05000001, -5.131148E-08, 0, True, 0
46, directionalNoAccel, LeftCurve, 161.52, -3.3136E-07, 0.05000001, -5.356329E-08, 0, True, 0
47, directionalNoAccel, LeftCurve, 161.54, -3.455139E-07, 0.05000001, -5.584935E-08, 0, True, 0
48, directionalNoAccel, LeftCurve, 161.56, -3.598651E-07, 0.05000001, -5.816313E-08, 0, True, 0
49, directionalNoAccel, LeftCurve, 161.58, -3.744207E-07, 0.05000001, -6.049921E-08, 0, True, 0
50, directionalNoAccel, LeftCurve, 161.6, -3.891319E-07, 0.05000001, -6.287114E-08, 0, True, 0
51, directionalNoAccel, LeftCurve, 161.62, -4.040071E-07, 0.05000001, -6.527318E-08, 0, True, 0
52, directionalNoAccel, LeftCurve, 161.64, -4.190542E-07, 0.05000001, -6.76998E-08, 0, True, 0
